MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Alliance,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Education Coefficient,MP Rating
Ratna De,Elected,18-May-09,In office,West Bengal,Hooghly,All India Trinamool Congress,UPA,Female,Post Graduate,"M.B.B.S., D.C.H.; Educated at R.G. Kar Medical College & Institute of Child Health, Calcutta University",64,74,0,113,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,75,3.12
Ratna Singh,Elected,18-May-09,In office,Uttar Pradesh,Pratapgarh,Indian National Congress,UPA,Female,Graduate,"B. Com.; Educated at Jesus and Mary College, University of Delhi (Delhi) ",53,25,0,479,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,3.13
Rattan Singh Ajnala,Elected,18-May-09,In office,Punjab,Khadoor Sahib,Shiromani Akali Dal,NDA,Male,Graduate,"M.B.B.S.; Educated at Medical College, Amritsar, Punjab",68,36,0,125,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,19,0.6,127,78%,60,2.78
Ravindra Kumar Pandey,Elected,18-May-09,In office,Jharkhand,Giridih,Bharatiya Janata Party,NDA,Male,Graduate,"B.A.; Educated at K.V. College (Ranchi University), Kathara (Bihar) ",53,108,0,475,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,25.9,0.8,185,65%,60,3.53
Ravneet Singh,Elected,18-May-09,In office,Punjab,Anandpur Sahib,Indian National Congress,UPA,Male,Under Graduate,"Guru Nanak Public School, Sector-36, Chandigarh",36,11,0,291,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,19,0.6,127,78%,20,2.28
Rewati Raman Singh,Elected,18-May-09,In office,Uttar Pradesh,Allahabad,Samajwadi Party,UPA,Male,Graduate,"B.A., LL.B.",68,48,0,182,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,3.22
Rudramadhab Ray,Elected,18-May-09,In office,Orissa,Kandhamal,Biju Janata Dal,Third Front,Male,Graduate,"B.Sc.; Educated at Ravenshaw College, Cuttack, Orissa",74,34,0,635,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,60,3.08
S. Alagiri,Elected,18-May-09,In office,Tamil Nadu,Cuddalore,Indian National Congress,UPA,Male,Graduate,"B.A.; Educated at Annamalai University, Tamil Nadu",59,19,0,398,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,60,2.5
S. Pakkirappa,Elected,18-May-09,In office,Karnataka,Raichur,Bharatiya Janata Party,NDA,Male,Under Matric,,53,3,0,566,0.64," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,10,1.63
S. R. Jeyadurai,Elected,18-May-09,In office,Tamil Nadu,Thoothukkudi,Dravida Munnetra Kazhagam,UPA,Male,Graduate,"B.Sc., PGDYN; Educated at Pope's College, Sawyerpuram, Thoothukudi",43,11,0,448,0.57," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,60,1.98
S. Semmalai,Elected,18-May-09,In office,Tamil Nadu,Salem,All India Anna Dravida Munnetra Kazhagam,,Male,Graduate,"B.Sc., B.L.; Educated at Alagappa College, Pushpam College and Madras Law College",67,92,4,390,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,60,3.82
S.P.Y. Reddy,Elected,18-May-09,In office,Andhra Pradesh,Nandyal,Indian National Congress,UPA,Male,Graduate,"B.E. (Mechanical); Educated at Reginal Engg. College, Warangal (Andhra Pradesh) ",62,3,0,0,0.48," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,60,0.87
S.S. Ramasubbu,Elected,18-May-09,In office,Tamil Nadu,Tirunelveli,Indian National Congress,UPA,Male,Post Graduate,"M.A. (Economics), J.C.I.I.B. (Banking); Educated at Madurai Kamaraj University and Indian Institute of Bankers",62,123,0,752,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,75,4.17
Sabbam Hari,Elected,18-May-09,In office,Andhra Pradesh,Anakapalli,Indian National Congress,UPA,Male,Graduate,B.Com.; Educated at A.V.N. College,60,0,0,0,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,60,1.62
Sadashivrao Dadoba Mandlik,Elected,18-May-09,In office,Maharashtra,Kolhapur,Independent,Others,Male,Graduate,"B.A. (Hons.) English; Educated at University of Poona, Pune, Maharashtra",77,8,0,53,0.48," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,1.05
Sai Prathap Annayyagari,Elected,18-May-09,In office,Andhra Pradesh,Rajampet,Indian National Congress,UPA,Male,Under Graduate,"Educated at Gulbarga Medical College, Gulbarga, Karnataka",67,1,0,80,0.86,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,77%,5.5,0.1,91,70%,20,1.72
Sajjan Singh Verma,Elected,18-May-09,In office,Madhya Pradesh,Dewas,Indian National Congress,UPA,Male,Post Graduate,"M.A. (Sociology); Educated at G.A.C.C. Indore, Madhya Pradesh",59,47,0,322,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,75,3.53
Sakti Mohan Malik,Elected,18-May-09,In office,West Bengal,Arambagh,Communist Party of India (Marxist),Third Front,Male,Post Graduate,"M.A., B.Ed. (Bengali and Political Science); Educated at Burdwan University, West Bengal",53,4,0,26,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,75,2.18
