MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Alliance,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Education Coefficient,MP Rating
Gangasandra Siddappa Basavaraj,Elected,18-May-09,In office,Karnataka,Tumkur,Bharatiya Janata Party,NDA,Male,Graduate,"B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka",71,2,2,161,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,60,2.15
Ghansyam Anuragi,Elected,18-May-09,In office,Uttar Pradesh,Jalaun,Samajwadi Party,UPA,Male,Post Graduate,"M.A. (Acharya), LL.B. (2nd year); Educated at Sampoornanad Sanskrit Vishwavidyalaya, Varanasi and Bundel Khand University, Jhansi, Uttar Pradesh",39,46,0,256,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,75,3.53
Girija Vyas,Elected,18-May-09,In office,Rajasthan,Chittorgarh,Indian National Congress,UPA,Female,Doctorate,"M.A., Ph.D.; Educated at University of Udaipur (Rajasthan) and in U.S.A.",66,18,0,16,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,90,2.53
Gobinda Chandra Naskar,Elected,18-May-09,In office,West Bengal,Bongaon,All India Trinamool Congress,UPA,Male,Post Graduate,"M.A., B.T.; Educated at Jadavpur University (JU) ",71,8,0,1,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,75,1.75
Gopal Singh Shekhawat,Elected,18-May-09,In office,Rajasthan,Rajsamand,Indian National Congress,UPA,Male,Graduate,"B.A., L.L.B.; Educated at Rajasthan University",61,13,0,73,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,60,2.25
Gorakh Prasad Jaiswal,Elected,18-May-09,In office,Uttar Pradesh,Deoria,Bahujan Samaj Party,UPA,Male,Under Graduate,"Educated at Town Hindi High School, Golaghat, Assam",73,29,0,530,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,20,2.87
Goraknath Pandey,Elected,18-May-09,In office,Uttar Pradesh,Bhadohi,Bahujan Samaj Party,UPA,Male,Post Graduate,"M.A., B.Ed.; Educated at Gyanpur P.G. College, Bhadohi, Agra University, Uttar Pradesh",61,77,0,108,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,75,3.37
Govind Prasad Mishra,Elected,18-May-09,In office,Madhya Pradesh,Sidhi,Bharatiya Janata Party,NDA,Male,Graduate,"B.A., LL.B. & D.C.E.; Educated at A.P.S. University, Reva (Madhya Pradesh) and; Samrat Ashok Technical Institute, Vidisha, Madhya Pradesh",63,30,0,163,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,60,3.02
Gowdar Mallikarjunappa Siddeswara,Elected,18-May-09,In office,Karnataka,Davanagere,Bharatiya Janata Party,NDA,Male,Under Graduate,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",60,15,0,639,0.6," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,20,1.97
Gurudas Dasgupta,Elected,18-May-09,In office,West Bengal,Ghatal,Communist Party of India,Third Front,Male,Post Graduate,"M. Com; Educated at Asutosh College, Calcutta and; University College of Arts & Commerce, Calcutta",75,71,0,411,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,75,3.92
H.D. Devegowda,Elected,18-May-09,In office,Karnataka,Hassan,Janata Dal (Secular),UPA,Male,Diploma Course,"D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka",79,21,0,0,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,45,1.63
H.D. Kumaraswamy,Elected,18-May-09,In office,Karnataka,Bangalore Rural,Janata Dal (Secular),UPA,Male,Graduate,B.Sc.,52,2,0,0,0.38," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,60,0.87
Hamdullah Sayeed,Elected,18-May-09,In office,Lakshadweep,Lakshadweep,Indian National Congress,UPA,Male,Graduate,"B.Sc., LL.B.; Educated at Indian Law Society, Pune",30,31,1,377,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,31,1,377,85%,60,3.18
Hansraj Gangaram Ahir,Elected,18-May-09,In office,Maharashtra,Chandrapur,Bharatiya Janata Party,NDA,Male,Under Graduate,"S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra",57,87,24,746,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20,3.72
Hari Manjhi,Elected,18-May-09,In office,Bihar,Gaya,Bharatiya Janata Party,NDA,Male,Under Matric,,49,12,0,78,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,10,2.03
Haribhau Madhav Jawale,Elected,18-May-09,In office,Maharashtra,Raver,Bharatiya Janata Party,NDA,Male,Graduate,"B.Sc.; Educated at M.J. College, Jalgaon, Maharashtra",59,36,1,226,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,3.2
Harin Pathak,Elected,18-May-09,In office,Gujarat,Ahmedabad East,Bharatiya Janata Party,NDA,Male,Graduate,"B.A., B.Ed.; Educated at Gujarat University, Ahmedabad (Gujarat) ",65,26,0,262,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,60,2.95
Harischandra Deoram Chavan,Elected,18-May-09,In office,Maharashtra,Dindori,Bharatiya Janata Party,NDA,Male,Graduate,"B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra) ",60,6,0,566,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,2.53
Harish Choudhary,Elected,18-May-09,In office,Rajasthan,Barmer,Indian National Congress,UPA,Male,Post Graduate,"M.A. (Economics); Educated at Jai Narayanvyas University, Jodhpur, Rajasthan",42,45,0,444,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,75,3.72
Harsh Vardhan,Elected,18-May-09,In office,Uttar Pradesh,Maharajganj,Indian National Congress,UPA,Male,Graduate,"B.A.; Educated at Lucknow University , Uttar Pradesh",64,37,0,275,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,3.15
Harsimrat Kaur Badal,Elected,18-May-09,In office,Punjab,Bathinda,Shiromani Akali Dal,NDA,Female,Graduate,Degree in Dress designing,46,23,0,210,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,19,0.6,127,78%,60,2.32
Hassan Khan,Elected,18-May-09,In office,Jammu and Kashmir,Ladakh,Independent,Others,Male,Graduate,"B.A.; Educated at Kashmir University, Srinagar, Jammu & Kashmir",72,14,0,47,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,35.4,0,84,89%,60,2.25
Hemanand Biswal,Elected,18-May-09,In office,Orissa,Sundargarh,Indian National Congress,UPA,Male,Under Graduate,,72,8,0,195,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,20,2.15
Hukamdeo Narayan Yadav,Elected,18-May-09,In office,Bihar,Madhubani,Bharatiya Janata Party,NDA,Male,Graduate,"Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar",72,74,0,232,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,60,3.42
Ijyaraj Singh,Elected,18-May-09,In office,Rajasthan,Kota,Indian National Congress,UPA,Male,Post Graduate,"MBA (Marketing), B.Sc. (Computer Science); Educated at Columbia Business School, Columbia University, New York, U.S.A. and Brown University Providence, Rhode Island, U.S.A.",47,28,0,381,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,75,3.33
Inder Singh Namdhari,Elected,18-May-09,In office,Jharkhand,Chatra,Independent,Others,Male,Graduate,"B.E. (Telecommunication); Educated at BIT, Sindri, Jharkhand",69,18,2,159,0.9," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,25.9,0.8,185,65%,60,3.05
Inderjit Singh Rao,Elected,18-May-09,In office,Haryana,Gurgaon,Indian National Congress,UPA,Male,Graduate,"B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",62,2,0,10,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,60,1.62
Ingrid Mcleod,Nominated,18-Sep-09,In office,,,Independent,Others,Female,Graduate,"Educated at Guru Ghasidas University, Bilaspur, Chhattisgarh",44,4,0,102,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.8,0.5,198,77%,31.6,0,99,90%,60,1.98
Ismail Hussain,Elected,18-May-09,In office,Assam,Barpeta,Indian National Congress,UPA,Male,Post Graduate,"M.A.; Educated at B.H. College, Howli, Barpeta, Assam and Gauwhati University, Assam",62,0,0,0,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,75,2
J. Shantha,Elected,18-May-09,In office,Karnataka,Bellary,Bharatiya Janata Party,NDA,Female,Under Graduate,,39,10,0,516,0.6," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,20,1.97
J.M. Aaron Rashid,Elected,18-May-09,In office,Tamil Nadu,Theni,Indian National Congress,UPA,Male,Under Graduate,"Educated at Sir Thiyagaraja College, Washermanpet, Chennai , Tamil Nadu",62,39,0,284,0.64," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,20,2.38
Jadhav Baliram Sukur,Elected,18-May-09,In office,Maharashtra,Palghar,Bahujan Vikas Aaghadi,UPA,Male,Under Matric,,56,6,0,183,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,10,2.02
Jadhav Prataprao Ganpatrao,Elected,18-May-09,In office,Maharashtra,Buldhana,Shiv Sena,NDA,Male,Under Graduate,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",51,12,0,282,0.63," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20,1.78
Jagada Nand Singh,Elected,18-May-09,In office,Bihar,Buxar,Rashtriya Janata Dal,UPA,Male,Graduate,"B.Sc., LL.B.; Educated at Banaras Hindu University and Harish Chandra P.G. College, Varanasi",70,63,0,312,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,60,3.6
Jagdambika Pal,Elected,18-May-09,In office,Uttar Pradesh,Domariyaganj,Indian National Congress,UPA,Male,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",61,155,4,205,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,75,4.02
Jagdish Sharma,Elected,18-May-09,In office,Bihar,Jahanabad,Janata Dal (United),NDA,Male,Graduate,"B.Vsc. & A.H., L.L.B.; Educated at Magadh University and Rajendra Agricultural University Pussa (Bihar) ",61,22,0,368,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,60,2.75
Jagdish Singh Rana,Elected,18-May-09,In office,Uttar Pradesh,Saharanpur,Bahujan Samaj Party,UPA,Male,Graduate,"B.A.; Educated at J.V. Jain College, Saharanpur, Uttar Pradesh",58,10,0,93,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,2.18
Jagdish Thakor,Elected,18-May-09,In office,Gujarat,Patan,Indian National Congress,UPA,Male,Under Graduate,"Educated at N.S. Vidyalaya, Naroda, Gujarat",55,17,0,218,0.64," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,20,1.6
Jai Prakash Agarwal,Elected,18-May-09,In office,Delhi,North East Delhi,Indian National Congress,UPA,Male,Graduate,"B.A.; Educated at Hansraj College, Delhi",67,67,17,656,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.5,4.3,226,96%,60,4.73
Jainarain Prasad Nishad,Elected,18-May-09,In office,Bihar,Muzaffarpur,Janata Dal (United),NDA,Male,Under Graduate,"Educated at Madhya Pradesh Education Board, Bhopal (Madhya Pradesh) ",81,5,0,60,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,20,1.53
Janardhana Swamy,Elected,18-May-09,In office,Karnataka,Chitradurga,Bharatiya Janata Party,NDA,Male,Post Graduate,"M.E. (Electrical Communication Engineering); Educated at Indian Institute of Science (IISc), Bangalore, Karnataka",44,4,0,5,0.62," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,75,1.25
Jaswant Singh,Elected,18-May-09,In office,West Bengal,Darjeeling,Bharatiya Janata Party,NDA,Male,Graduate,"B.A., B.Sc.; Educated at Mayo College, Ajmer, Joint Services Wing, Clement Town, Dehradun. N.D.A. Khadakvasla and Indian Military Academy, Dehradun",74,14,0,0,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,60,1.57
Jayant Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Mathura,Rashtriya Lok Dal,UPA,Male,Post Graduate,"M.Sc., Accounts and Finance; Educated at Landon School of Economics and Political Science",33,34,2,126,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,75,3.15
Jayaram Pangi,Elected,18-May-09,In office,Orissa,Koraput,Biju Janata Dal,Third Front,Male,Under Graduate,"Educated at Govt. TRW High School, Sunabeda - 1, Orissa; Hal, Sunabeda",57,4,0,182,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,20,1.65
Jayshreeben Kanubhai Patel,Elected,18-May-09,In office,Gujarat,Mehesana,Bharatiya Janata Party,NDA,Female,Under Graduate,,53,99,1,336,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,20,3.57
Jeetendra Singh Bundela,Elected,18-May-09,In office,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,NDA,Male,Post Graduate,"M.A., LL.B; Maharaja Mahavidyalya Chhattarpur, Madhya Pradesh and Motilal Vidhi Mahavidyalaya Chattarpur, Madhya Pradesh",53,44,0,221,0.9," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,75,3.35
Jhansi Botcha Lakshmi,Elected,18-May-09,In office,Andhra Pradesh,Vizianagaram,Indian National Congress,UPA,Female,Doctorate,"M.A. (Philosophy), Ph.D.",48,120,0,305,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,90,3.87
Jitender Singh Malik,Elected,18-May-09,In office,Haryana,Sonipat,Indian National Congress,UPA,Male,Graduate,"B.A., LL.B.",42,8,0,50,0.63," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,60,1.3
Jitendra Singh,Elected,18-May-09,In office,Rajasthan,Alwar,Indian National Congress,UPA,Male,Graduate,"B.Com; Educated at Delhi University & Wynberg Allan, Mussoorie",41,1,0,0,0.69,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,77%,16.8,0.5,103,88%,60,1.37
Jose K. Mani,Elected,18-May-09,In office,Kerala,Kottayam,Kerala Congress (M),UPA,Male,Post Graduate,"B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",47,52,0,398,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,75,3.48
Joseph Toppo,Elected,18-May-09,In office,Assam,Tezpur,Asom Gana Parishad,NDA,Male,Under Graduate,"H.S.L.C., Diploma in Automobile Engineering; Educated at Don Bosco Technical School Maligaon, Guwahati",58,15,0,115,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,20,1.67
Jyoti Dhurve,Elected,18-May-09,In office,Madhya Pradesh,Betul,Bharatiya Janata Party,NDA,Female,Post Graduate,"M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh",46,48,0,243,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,75,3.1
Jyoti Mirdha,Elected,18-May-09,In office,Rajasthan,Nagaur,Indian National Congress,UPA,Female,Graduate,"M.B.B.S.; Educated at SMS Medical College, Jaipur (Rajasthan) ",40,26,0,58,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,60,2.65
K. C. Venugopal,Elected,18-May-09,In office,Kerala,Alappuzha,Indian National Congress,UPA,Male,Post Graduate,M.Sc. (Mathematics); Educated at Calicut University,49,39,0,235,0.84,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.4,0.3,103,77%,23.4,0.2,153,84%,75,3.1
K. D. Deshmukh,Elected,18-May-09,In office,Madhya Pradesh,Balaghat,Bharatiya Janata Party,NDA,Male,Graduate,"B.Sc., LL.B.; Educated at Govt. J.S.T. College, Balaghat",63,54,0,147,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,60,2.73
K. Jayaprakash Hegde,Elected,27-Mar-12,In office,Karnataka,Udupi Chikmagalur,Indian National Congress,UPA,Male,Graduate,Law,52,4,0,12,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",5.8,0.2,41,77%,3.5,0,49,70%,60,2.12
K. Jayasurya Prakash Reddy,Elected,18-May-09,In office,Andhra Pradesh,Kurnool,Indian National Congress,UPA,Male,Graduate,"B.A.; Educated at Nizam College, Hyderabad, Andhra Pradesh",60,0,0,496,0.55," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,60,1.78
K. Murugesan Anandan,Elected,18-May-09,In office,Tamil Nadu,Viluppuram,All India Anna Dravida Munnetra Kazhagam,,Male,Under Graduate,"P.U.C.; Attended B.Sc course for three years; Educated at Govt. Arts College, Cuddalore, Tamil Nadu in the year 1971-74",60,16,1,147,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,20,2.4
K. P. Dhanapalan,Elected,18-May-09,In office,Kerala,Chalakudy,Indian National Congress,UPA,Male,Graduate,"B.Sc. (Chemistry); Educated at U.C. College, Aluva",62,47,0,312,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,60,3.65
K. Sugumar,Elected,18-May-09,In office,Tamil Nadu,Pollachi,All India Anna Dravida Munnetra Kazhagam,,Male,Graduate,"B.Com.; Educated at P.S.G. College of Arts & Science, Coimbatore",51,33,0,398,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,60,3.15
K.C. Singh Baba,Elected,18-May-09,In office,Uttarakhand,Nainital-Udhamsingh Nagar,Indian National Congress,UPA,Male,Under Graduate,"Senior Cambridge; Educated at St. Joseph`s College, Nainital, Uttarakhand",65,15,6,208,0.65," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,38.5,4.6,78,82%,20,2.07
Kabindra Purkayastha,Elected,18-May-09,In office,Assam,Silchar,Bharatiya Janata Party,NDA,Male,Post Graduate,"M.A., B.T.; Educated at Gauhati University, Gauhati (Assam) ",80,25,1,110,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,75,3.2
Kabir Suman,Elected,18-May-09,In office,West Bengal,Jadavpur,All India Trinamool Congress,UPA,Male,Graduate,"B.A. (Hons.) English Literature; Educated at Jadav University, Kolkata",62,3,0,0,0.34," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,60,0.87
Kadir Rana,Elected,18-May-09,In office,Uttar Pradesh,Muzaffarnagar,Bahujan Samaj Party,UPA,Male,Under Matric,,50,0,0,77,0.53," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,10,0.83
Kailash Joshi,Elected,18-May-09,In office,Madhya Pradesh,Bhopal,Bharatiya Janata Party,NDA,Male,Under Graduate,,83,4,0,73,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,20,1.53
Kaisar Jahan,Elected,18-May-09,In office,Uttar Pradesh,Sitapur,Bahujan Samaj Party,UPA,Female,Under Matric,Privately Educated,38,5,0,26,0.58," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,10,0.9
Kakoli Ghosh Dastidar,Elected,18-May-09,In office,West Bengal,Barasat,All India Trinamool Congress,UPA,Female,Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",52,22,0,8,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,75,1.9
Kalikesh Narayan Singh Deo,Elected,18-May-09,In office,Orissa,Bolangir,Biju Janata Dal,Third Front,Male,Graduate,"B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University",38,15,0,245,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,60,2.12
Kalyan Banerjee,Elected,18-May-09,In office,West Bengal,Serampore,All India Trinamool Congress,UPA,Male,Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",55,30,0,0,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,60,1.97
